GPIO,Power Domain,ADC,SPI,Debug,Other
IO0,LP_UART_DTRN,ADC1_CH0,,,XTAL_32K_P
IO1,LP_UART_DSRN,ADC1_CH1,,,XTAL_32K_N
IO2,LP_UART_RTSN,ADC1_CH2,FSPIQ,,
IO3,LP_UART_CTSN,ADC1_CH3,,,
IO4,LP_UART_RXD,ADC1_CH4,FSPIHD,MTMS,
IO5,LP_UART_TXD,ADC1_CH5,FSPIWP,MTDI,
IO6,LP_I2C_SDA,ADC1_CH6,FSPICLK,MTCK,
IO7,LP_I2C_SCL,,FSPID,MTDO,
IO8,,,,,
IO9,,,,,
IO10,,,,,
IO11,,,,,
IO12,,,,,USB_D-
IO13,,,,,USB_D+
IO14,,,,,
IO15,,,,,
IO16,,,,,
IO17,,,,,
IO18,,,SDIO_CMD,,
IO19,,,SDIO_CLK,,
IO20,,,SDIO_DATA0,,
IO21,,,SDIO_DATA1,,
IO22,,,SDIO_DATA2,,
IO23,,,SDIO_DATA3,,
IO24,,,SPICS0,,
IO25,,,SPIQ,,
IO26,,,SPIWP,,
IO27,,,,,VDD_SPI
IO28,,,SPIHD,,
IO29,,,SPICLK,,
IO30,,,SPID,,
,,,,,
DESCRIPTION,"The ESP32-C6 is Espressif’s first Wi-Fi 6 SoC integrating 2.4 GHz Wi-Fi 6, Bluetooth 5 (LE) and the 802.15.4 protocol.",,,,
