GPIO,ADC,HS/QSPI,SDMMC,Touch,RTC,UART,Other,Input Only?
0,ADC2_CH1,,,T1,RTC11,,CLK_OUT1,
1,,,,,,U0TXD,CLK_OUT3,
2,ADC2_CH2,HSPIWP,HS2_DATA0,T2,RTC12,,,
3,,,,,,U0RXD,CLK_OUT2,
4,ADC2_CH0,HSPIHD,HS2_DATA1,T0,RTC10,,,
5,,VSPICS0,HS1_DATA6,,,,,
6,,SPICLK,HS1_CLK,,,U1CTS,,
7,,SPIQ,HS1_DATA0,,,U2RTS,,
8,,SPID,HS1_DATA1,,,U2CTS,,
9,,SPIHD,HS1_DATA2,,,U1RXD,,
10,,SPIWP,HS1_DATA3,,,U1TXD,,
11,,SPI_CS0,HS1_CMD,,,U1RTS,,
12,ADC2_CH5,HSPIQ,HS2_DATA2,T5,RTC15,,MTDI,
13,ADC2_CH4,HSPID,HS2_DATA3,T4,RTC14,,MTCK,
14,ADC2_CH6,HSPICLK,HS2_CLK,T6,RTC16,,MTMS,
15,ADC2_CH3,HSPICS0,HS2_CMD,T3,RTC13,,MTDO,
16,,,HS1_DATA4,,,U2RXD,,
17,,,HS1_DATA5,,,U2TXD,,
18,,VSPICLK,HS1_DATA7,,,,,
19,,VSPIQ,,,,U0CTS,,
20,,,,,,,,
21,,VSPIHD,,,,,,
22,,VSPIWP,,,,U0RTS,,
23,,VSPID,HS1_STROBE,,,,,
25,ADC2_CH8,,,,RTC6,,DAC1,
26,ADC2_CH9,,,,RTC7,,DAC2,
27,ADC2_CH7,,,T7,RTC17,,,
32,ADC1_CH4,,,T9,RTC9,,32K_XP,
33,ADC1_CH5,,,T8,RTC8,,32K_XN,
34,ADC1_CH6,,,,RTC4,,VDET1,Yes
35,ADC1_CH7,,,,RTC5,,VDET2,Yes
36,ADC1_CH0,,,,RTC0,,SENSE_V+-,Yes
37,ADC1_CH1,,,,RTC1,,SENSE_CAP+-,Yes
38,ADC1_CH2,,,,RTC2,,SENSE_CAP+AC0-,Yes
39,ADC1_CH3,,,,RTC3,,SENSE_V+AC0-,Yes
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
DESCRIPTION,,,,,,,,
