GPIO,SPEED,ADC,SPECIAL
P0.00,HS,,XL1
P0.01,HS,,XL2
P0.02,LS,AIN0,
P0.03,LS,AIN1,
P0.04,HS,AIN2,
P0.05,HS,AIN3,
P0.06,HS,,
P0.07,HS,,
P0.08,HS,,
P0.09,LS,,NFC1
P0.10,LS,,NFC2
P0.11,HS,,
P0.12,HS,,
P0.13,HS,,
P0.14,HS,,
P0.15,HS,,
P0.16,HS,,
P0.17,HS,,
P0.18,HS,,RESET
P0.19,QSPI/SCK,,
P0.20,HS,,
P0.21,QSPI,,
P0.22,QSPI,,
P0.23,QSPI,,
P0.24,HS,,
P0.25,HS,,
P0.26,HS,,
P0.27,HS,,
P0.28,LS,AIN4,
P0.29,LS,AIN5,
P0.30,LS,AIN6,
P0.31,LS,AIN7,
P1.00,QSPI,,
P1.01,LS,,
P1.02,LS,,
P1.03,LS,,
P1.04,LS,,
P1.05,LS,,
P1.06,LS,,
P1.07,LS,,
P1.08,HS,,
P1.09,HS,,
P1.10,LS,,
P1.11,LS,,
P1.12,LS,,
P1.13,LS,,
P1.14,LS,,
P1.15,LS,,
,,,
,,,
,,,
,,,
,,,
DESCRIPTION,The,is,Raspberry
