GPIO,SPI,UART,I2C,PWM,ADC,Other
GPIO0,RX0,TX0,SDA0,PWM0A,,
GPIO1,CSn0,RX0,SCL0,PWM0B,,
GPIO2,SCK0,CTS0,SDA1,PWM1A,,
GPIO3,TX0,RTS0,SCL1,PWM1B,,
GPIO4,RX0,TX1,SDA0,PWM2A,,
GPIO5,CSn0,RX1,SCL0,PWM2B,,
GPIO6,SCK0,CTS1,SDA1,PWM3A,,
GPIO7,TX0,RTS1,SCL1,PWM3B,,
GPIO8,RX1,TX1,SDA0,PWM4A,,
GPIO9,CSn1,RX1,SCL0,PWM4B,,
GPIO10,SCK1,CTS1,SDA1,PWM5A,,
GPIO11,TX1,RTS1,SCL1,PWM5B,,
GPIO12,RX1,TX0,SDA0,PWM6A,,HSTX
GPIO13,CSn1,RX0,SCL0,PWM6B,,HSTX
GPIO14,SCK1,CTS0,SDA1,PWM7A,,HSTX
GPIO15,TX1,RTS0,SCL1,PWM7B,,HSTX
GPIO16,RX0,TX0,SDA0,PWM0A,,HSTX
GPIO17,CSn0,RX0,SCL0,PWM0B,,HSTX
GPIO18,SCK0,CTS0,SDA1,PWM1A,,HSTX
GPIO19,TX0,RTS0,SCL1,PWM1B,,HSTX
GPIO20,RX0,TX1,SDA0,PWM2A,,
GPIO21,CSn0,RX1,SCL0,PWM2B,,
GPIO22,SCK0,CTS1,SDA1,PWM3A,,
GPIO23,TX0,RTS1,SCL1,PWM3B,,
GPIO24,RX1,TX1,SDA0,PWM4A,,
GPIO25,CSn1,RX1,SCL0,PWM4B,,
GPIO26,SCK1,CTS1,SDA1,PWM5A,ADC0,
GPIO27,TX1,RTS1,SCL1,PWM5B,ADC1,
GPIO28,RX1,TX0,SDA0,PWM6A,ADC2,
GPIO29,CSn1,RX0,SCL0,PWM6B,ADC3,
,,,,,,
DESCRIPTION,The Raspberry Pi RP2350 is a dual ARM M33 core with 150 MHz clock rate and built in USB. Flash memory is provided by external QSPI chip.,,,,,
