GPIO,INT,DAC/AREF,ADC,SERCOM,SERCOM Alt,Timer,Timer Alt,Timer Alt2,QSPI/CAN,Special,I2S,PCC
PA00,0,,,,S1.0,TC2[0],,,,,,
PA01,1,,,,S1.1,TC2[1],,,,,,
PA02,2,VOUT0,A0[0],,,,,,,,,
PA03,3,VREFA,A0[1],,,,,,,,,
PA04,4,VREFB,A0[4],,S0.0,TC0[0],,,,,,
PA05,5,VOUT1,A0[5],,S0.1,TC0[1],,,,,,
PA06,6,VREFC,A0[6],,S0.2,TC1[0],,,,SDCD,,
PA07,7,,A0[7],,S0.3,TC1[1],,,,SDWP,,
PA08,NMI,,A0[8]/A1[2],S0.0,S2.1,TC0[0],TCC0[0],TCC1[4],DATA0,SDCMD,MCK0,
PA09,9,,A0[0]/A1[3],S0.1,S2.0,TC0[1],TCC0[1],TCC1[5],DATA1,SDDAT0,FS0,
PA10,10,,A0[10],S0.2,S2.2,TC1[0],TCC0[2],TCC1[6],DATA2,SDDAT1,SCK0,
PA11,11,,A0[11],S0.3,S2.3,TC1[1],TCC0[3],TCC1[7],DATA3,SDDAT2,SDO,
PA12,12,,,S2.0,S4.1,TC2[0],TCC0[6],TCC1[2],,SDCD,,DEN1
PA13,13,,,S2.1,S4.0,TC2[1],TCC0[7],TCC1[3],,SDWP,,DEN2
PA14,14,,,S2.2,S4.2,TC3[0],TCC2[0],TCC1[2],,,,CLK
PA15,15,,,S2.3,S4.3,TC3[1],TCC2[1],TCC1[3],,,,
PA16,0,,,S1.0,S3.1,TC2[0],TCC1[0],TCC0[4],,,,DATA0
PA17,1,,,S1.1,S3.0,TC2[1],TCC1[1],TCC0[5],,,,DATA1
PA18,2,,,S1.2,S3.2,TC3[0],TCC1[2],TCC0[6],,,,DATA2
PA19,3,,,S1.3,S3.3,TC3[1],TCC1[3],TCC0[7],,,,DATA3
PA20,4,,,S5.2,S3.2,TC7[0],TCC1[4],TCC0[0],,SDCMD,FS0,DATA4
PA21,5,,,S5.3,S3.3,TC7[1],TCC1[5],TCC0[1],,SDCK,SDO,DATA5
PA22,6,,,S3.0,S5.1,TC4[0],TCC1[6],TCC0[2],CAN0TX,,SDI,DATA6
PA23,7,,,S3.1,S5.0,TC4[1],TCC1[7],TCC0[3],CAN0RX,SOF 1KHZ,FS1,DATA7
PA24,8,,,S3.2,S5.2,TC5[0],TCC2[2],,CAN0TX,USB D-,,
PA25,9,,,S3.3,S5.1,TC5[1],,,CAN0RX,USB D+,,
PA27,11,,,,,,,,,,,
PA30,14,,,S7.2,S1.2,TC6[0],TCC2[0],,,SWCLK,,
PA31,15,,,S7.3,S1.3,TC6[1],TCC2[1],,,SWDIO,,
PB00,0,,A0[12],,S5.2,TC7[0],,,,,,
PB01,1,,A0[13],,S5.3,TC7[1],,,,,,
PB02,2,,A0[14],,S5.0,TC6[0],TCC2[2],,,,,
PB03,3,,A0[15],,S5.1,TC6[1],,,,,,
PB04,4,,A1[6],,,,,,,,,
PB05,5,,A1[7],,,,,,,,,
PB06,6,,A1[8],,,,,,,,,
PB07,7,,A1[9],,,,,,,,,
PB08,8,,A0[2]/A1[0],,S4.0,TC4[0],,,,,,
PB09,9,,A0[3]/A1[1],,S4.1,TC4[1],,,,,,
PB10,10,,,,S4.2,TC5[0],TCC0[4],TCC1[0],SCK,SDDAT3,SDI,
PB11,11,,,,S4.3,TC5[1],TCC0[5],TCC1[1],CS,SDCK,FS1,
PB12,12,,,S4.0,,TC4[0],TCC3[0],TCC0[0],CAN1TX,SDCD,SCK1,
PB13,13,,,S4.1,,TC4[1],TCC3[1],TCC0[1],CAN1RX,SDWP,MCK1,
PB14,14,,,S4.2,,TC5[0],TCC4[0],TCC0[2],CAN1TX,,,DATA8
PB15,15,,,S4.3,,TC5[1],TCC4[1],TCC0[3],CAN1RX,,,DATA9
PB16,0,,,S5.0,,TC6[0],TCC3[0],TCC0[4],,SDCD,SCK0,
PB17,1,,,S5.1,,TC6[1],TCC3[1],TCC0[5],,SDWP,MCK0,
PB18,2,,,S5.2,S7.2,,TCC1[0],,,SDDAT0,,
PB19,3,,,S5.3,S7.3,,TCC1[1],,,SDDAT1,,
PB20,4,,,S3.0,S7.1,,TCC1[2],,,SDDAT2,,
PB21,5,,,S3.1,S7.0,,TCC1[3],,,SDDAT3,,
PB22,6,,,S1.2,S5.2,TC7[0],,,,SOF 1KHZ,,
PB23,7,,,S1.2,S5.3,TC7[1],,,,,,
PB24,8,,,S0.0,S2.1,,,,,,,
PB25,9,,,S0.1,S2.0,,,,,,,
PB26,12,,,S2.0,S4.1,,TCC1[2],,,,,
PB27,13,,,S2.1,S4.0,,TCC1[3],,,,,
PB28,14,,,S2.2,S4.2,,TCC1[4],,,,SCK1,
PB29,15,,,S2.3,S4.3,,TCC1[5],,,,MCK1,
PB30,14,,,S7.0,S5.1,TC0[0],TCC4[0],TCC0[6],,SWDO,,
PB31,15,,,S7.1,S5.0,TC0[1],TCC4[1],TCC0[7],,,,
